IQ-TREE multicore version 1.6.5 for Linux 64-bit built Jun  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    s53.uppmax.uu.se (AVX, 125 GB RAM)
Command: iqtree -s mafft_mt_seqs.clustal -o O1_Cmaxi,O1_Ctaur,O1_Cobsc,O1_Tobes,O1_Ojapo -m MFP -pre mt_iqtree_res -bb 1000
Seed:    785367 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Apr  2 12:07:01 2021
Kernel:  AVX - 1 threads (16 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 16 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file mafft_mt_seqs.clustal ... Clustal format detected
Alignment most likely contains DNA/RNA sequences
WARNING: 3 sites contain only gaps or ambiguous characters.
Alignment has 26 sequences with 26958 columns, 13080 distinct patterns
11644 parsimony-informative, 2340 singleton sites, 12974 constant sites
          Gap/Ambiguity  Composition  p-value
   1  F_Arick    34.08%    failed      0.00%
   2  F_Ramu     31.49%    failed      0.00%
   3  F_Rtemp    40.42%    failed      0.00%
   4  F_Pcret    33.86%    failed      0.00%
   5  F_Xbore    35.18%    failed      0.00%
   6  O1_Cmaxi   38.16%    passed     37.80%
   7  O1_Ctaur   37.78%    failed      4.11%
   8  O1_Cobsc   38.03%    failed      0.01%
   9  O1_Tobes   38.05%    failed      0.41%
  10  O1_Ojapo   38.03%    failed      0.00%
  11  S_Ajapo    39.54%    failed      0.00%
  12  S_Atexa    39.29%    failed      0.00%
  13  S_Bnigr    35.47%    failed      0.00%
  14  S_Hleec    39.06%    failed      0.00%
  15  S_Nbeye    39.95%    failed      0.00%
  16  L_Lagil    36.61%    passed      6.87%
  17  L_Pmura    35.79%    failed      0.00%
  18  L_Lpers    38.12%    failed      0.00%
  19  L_Smode    35.04%    failed      0.03%
  20  S_Tcarn    38.57%    failed      0.00%
  21  L_Gjapo    38.63%    failed      0.00%
  22  L_Iigua    38.30%    failed      0.00%
  23  L_Peleg    35.81%    failed      0.00%
  24  O2_Ggori   39.12%    failed      0.00%
  25  O2_Ptrog   38.59%    failed      0.00%
  26  O2_Ppygm   39.21%    failed      0.00%
****  TOTAL      37.39%  24 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.048 seconds
NOTE: ModelFinder requires 160 MB RAM!
ModelFinder will test 286 DNA models (sample size: 26958) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            324128.855   49  648355.709   648355.892   648757.609
  2  JC+I          306898.392   50  613896.784   613896.974   614306.886
  3  JC+G4         302962.715   50  606025.430   606025.619   606435.531
  4  JC+I+G4       301944.230   51  603990.461   603990.658   604408.765
  5  JC+R2         303044.926   51  606191.853   606192.050   606610.157
  6  JC+R3         301778.894   53  603663.789   603664.001   604098.496
  7  JC+R4         301714.843   55  603539.685   603539.914   603990.797
  8  JC+R5         301713.313   57  603540.627   603540.872   604008.143
 14  F81+F         319519.203   52  639142.405   639142.610   639568.911
 15  F81+F+I       301440.484   53  602986.969   602987.182   603421.677
 16  F81+F+G4      296499.477   53  593104.954   593105.167   593539.662
 17  F81+F+I+G4    295544.834   54  591197.668   591197.889   591640.578
 18  F81+F+R2      297035.294   54  594178.588   594178.809   594621.498
 19  F81+F+R3      295501.052   56  591114.105   591114.342   591573.419
 20  F81+F+R4      295374.479   58  590864.958   590865.212   591340.676
 21  F81+F+R5      295371.029   60  590862.058   590862.330   591354.180
 27  K2P           318781.592   50  637663.185   637663.374   638073.287
 28  K2P+I         301160.286   51  602422.571   602422.768   602840.875
 29  K2P+G4        296036.292   51  592174.584   592174.781   592592.888
 30  K2P+I+G4      295142.916   52  590389.832   590390.037   590816.338
 31  K2P+R2        296947.964   52  593999.929   594000.134   594426.435
 32  K2P+R3        295265.290   54  590638.579   590638.800   591081.489
 33  K2P+R4        294998.310   56  590108.619   590108.856   590567.933
 34  K2P+R5        294986.340   58  590088.681   590088.935   590564.399
 35  K2P+R6        294984.875   60  590089.749   590090.021   590581.871
 40  HKY+F         313157.920   53  626421.839   626422.052   626856.547
 41  HKY+F+I       294094.740   54  588297.481   588297.701   588740.391
 42  HKY+F+G4      286478.748   54  573065.497   573065.718   573508.407
 43  HKY+F+I+G4    285966.000   55  572042.001   572042.229   572493.112
 44  HKY+F+R2      288903.327   55  577916.653   577916.882   578367.765
 45  HKY+F+R3      286278.901   57  572671.803   572672.049   573139.319
 46  HKY+F+R4      285898.575   59  571915.151   571915.414   572399.071
 47  HKY+F+R5      285889.285   61  571900.570   571900.851   572400.894
 53  TNe           316524.290   51  633150.579   633150.776   633568.883
 54  TNe+I         298491.228   52  597086.456   597086.660   597512.961
 55  TNe+G4        292346.826   52  584797.651   584797.856   585224.157
 56  TNe+I+G4      291643.749   53  583393.498   583393.710   583828.205
 57  TNe+R2        293979.296   53  588064.592   588064.805   588499.300
 58  TNe+R3        291754.751   55  583619.503   583619.732   584070.615
 59  TNe+R4        291546.138   57  583206.276   583206.522   583673.792
